2020-02-25 10:50:04.734353 -  latency: 8.501053 ms
2020-02-25 10:50:04.735795 -  latency: 4.601955 ms
2020-02-25 10:50:04.740461 -  latency: 3.855944 ms
2020-02-25 10:50:04.747929 -  latency: 5.891800 ms
2020-02-25 10:50:04.751019 -  latency: 3.417969 ms
2020-02-25 10:50:04.756629 -  latency: 3.535986 ms
2020-02-25 10:50:04.762043 -  latency: 3.484011 ms
2020-02-25 10:50:04.767085 -  latency: 3.110170 ms
2020-02-25 10:50:04.772982 -  latency: 3.596067 ms
2020-02-25 10:50:04.778423 -  latency: 3.565073 ms
2020-02-25 10:50:04.782715 -  latency: 2.439976 ms
2020-02-25 10:50:04.789226 -  latency: 3.520012 ms
2020-02-25 10:50:04.794477 -  latency: 3.293037 ms
2020-02-25 10:50:04.799001 -  latency: 2.342939 ms
2020-02-25 10:50:04.805722 -  latency: 3.655910 ms
2020-02-25 10:50:04.810717 -  latency: 3.236055 ms
2020-02-25 10:50:04.815900 -  latency: 2.987146 ms
2020-02-25 10:50:04.821634 -  latency: 3.314972 ms
2020-02-25 10:50:04.827313 -  latency: 3.520966 ms
2020-02-25 10:50:04.831523 -  latency: 2.321005 ms
2020-02-25 10:50:04.837907 -  latency: 3.293037 ms
2020-02-25 10:50:04.843522 -  latency: 3.415108 ms
2020-02-25 10:50:04.848815 -  latency: 3.205061 ms
2020-02-25 10:50:04.854500 -  latency: 3.415108 ms
2020-02-25 10:50:04.859753 -  latency: 3.182888 ms
2020-02-25 10:50:04.864699 -  latency: 2.634048 ms
2020-02-25 10:50:04.870651 -  latency: 3.113985 ms
2020-02-25 10:50:04.876580 -  latency: 3.559113 ms
2020-02-25 10:50:04.880844 -  latency: 2.404928 ms
2020-02-25 10:50:04.886982 -  latency: 3.130913 ms
2020-02-25 10:50:04.892253 -  latency: 2.923965 ms
2020-02-25 10:50:04.897201 -  latency: 2.403021 ms
2020-02-25 10:50:04.908792 -  latency: 3.067017 ms
2020-02-25 10:50:04.913500 -  latency: 2.305031 ms
2020-02-25 10:50:04.918493 -  latency: 18.222094 ms
2020-02-25 10:50:04.920447 -  latency: 3.775835 ms
2020-02-25 10:50:04.925084 -  latency: 2.956152 ms
2020-02-25 10:50:04.929881 -  latency: 2.282143 ms
2020-02-25 10:50:04.936651 -  latency: 3.583908 ms
2020-02-25 10:50:04.941467 -  latency: 2.926111 ms
2020-02-25 10:50:04.946114 -  latency: 2.198219 ms
2020-02-25 10:50:04.953421 -  latency: 4.105091 ms
2020-02-25 10:50:04.957734 -  latency: 2.936840 ms
2020-02-25 10:50:04.962547 -  latency: 2.274990 ms
2020-02-25 10:50:04.969439 -  latency: 3.727913 ms
2020-02-25 10:50:04.973973 -  latency: 2.789974 ms
2020-02-25 10:50:04.978921 -  latency: 2.312899 ms
2020-02-25 10:50:04.985516 -  latency: 3.437042 ms
2020-02-25 10:50:04.990422 -  latency: 2.850056 ms
2020-02-25 10:50:04.995257 -  latency: 2.249002 ms
2020-02-25 10:50:05.002402 -  latency: 3.978014 ms
2020-02-25 10:50:05.006723 -  latency: 2.843857 ms
2020-02-25 10:50:05.011682 -  latency: 2.346992 ms
2020-02-25 10:50:05.018201 -  latency: 3.446102 ms
2020-02-25 10:50:05.023012 -  latency: 2.777815 ms
2020-02-25 10:50:05.028441 -  latency: 2.727985 ms
2020-02-25 10:50:05.034327 -  latency: 3.180027 ms
2020-02-25 10:50:05.039512 -  latency: 2.840996 ms
2020-02-25 10:50:05.044434 -  latency: 2.296209 ms
2020-02-25 10:50:05.050708 -  latency: 3.113985 ms
2020-02-25 10:50:05.055810 -  latency: 2.760887 ms
2020-02-25 10:50:05.060719 -  latency: 2.212048 ms
2020-02-25 10:50:05.067056 -  latency: 3.087044 ms
2020-02-25 10:50:05.072203 -  latency: 2.858877 ms
2020-02-25 10:50:05.076870 -  latency: 2.169847 ms
2020-02-25 10:50:05.083334 -  latency: 3.252983 ms
2020-02-25 10:50:05.088538 -  latency: 2.986908 ms
2020-02-25 10:50:05.093205 -  latency: 2.243996 ms
2020-02-25 10:50:05.099657 -  latency: 3.239155 ms
2020-02-25 10:50:05.105327 -  latency: 3.427029 ms
2020-02-25 10:50:05.109593 -  latency: 2.272844 ms
2020-02-25 10:50:05.116012 -  latency: 3.221989 ms
2020-02-25 10:50:05.121098 -  latency: 2.851009 ms
2020-02-25 10:50:05.125894 -  latency: 2.185106 ms
2020-02-25 10:50:05.132778 -  latency: 3.614902 ms
2020-02-25 10:50:05.137339 -  latency: 2.755165 ms
2020-02-25 10:50:05.142160 -  latency: 2.185822 ms
2020-02-25 10:50:05.148738 -  latency: 3.302813 ms
2020-02-25 10:50:05.153407 -  latency: 2.554178 ms
2020-02-25 10:50:05.158341 -  latency: 2.130985 ms
2020-02-25 10:50:05.165267 -  latency: 3.685951 ms
2020-02-25 10:50:05.169534 -  latency: 2.620935 ms
2020-02-25 10:50:05.174399 -  latency: 2.199888 ms
2020-02-25 10:50:05.181680 -  latency: 4.106045 ms
2020-02-25 10:50:05.185807 -  latency: 2.748013 ms
2020-02-25 10:50:05.190587 -  latency: 2.063990 ms
2020-02-25 10:50:05.197226 -  latency: 3.287077 ms
2020-02-25 10:50:05.201999 -  latency: 2.658844 ms
2020-02-25 10:50:05.206992 -  latency: 2.228022 ms
2020-02-25 10:50:05.213555 -  latency: 3.382206 ms
2020-02-25 10:50:05.218334 -  latency: 2.698898 ms
2020-02-25 10:50:05.224129 -  latency: 3.075123 ms
2020-02-25 10:50:05.230814 -  latency: 3.489017 ms
2020-02-25 10:50:05.235582 -  latency: 2.795935 ms
2020-02-25 10:50:05.240540 -  latency: 2.319098 ms
2020-02-25 10:50:05.247190 -  latency: 3.499985 ms
2020-02-25 10:50:05.252041 -  latency: 2.892017 ms
2020-02-25 10:50:05.257364 -  latency: 2.747059 ms
2020-02-25 10:50:05.263592 -  latency: 3.499031 ms
2020-02-25 10:50:05.268381 -  latency: 2.815962 ms
2020-02-25 10:50:05.273194 -  latency: 2.210140 ms
2020-02-25 10:50:05.279932 -  latency: 3.489017 ms
2020-02-25 10:50:05.284792 -  latency: 2.849102 ms
2020-02-25 10:50:05.289660 -  latency: 2.243042 ms
2020-02-25 10:50:05.296243 -  latency: 3.395081 ms
2020-02-25 10:50:05.300969 -  latency: 2.708197 ms
2020-02-25 10:50:05.305849 -  latency: 2.127171 ms
2020-02-25 10:50:05.312826 -  latency: 3.630877 ms
2020-02-25 10:50:05.317230 -  latency: 2.573967 ms
2020-02-25 10:50:05.322258 -  latency: 2.187967 ms
2020-02-25 10:50:05.328907 -  latency: 3.369093 ms
2020-02-25 10:50:05.334019 -  latency: 3.007889 ms
2020-02-25 10:50:05.338737 -  latency: 2.238989 ms
2020-02-25 10:50:05.345679 -  latency: 3.652096 ms
2020-02-25 10:50:05.350035 -  latency: 2.588034 ms
2020-02-25 10:50:05.354936 -  latency: 2.172947 ms
2020-02-25 10:50:05.361551 -  latency: 3.386974 ms
2020-02-25 10:50:05.366471 -  latency: 2.835035 ms
2020-02-25 10:50:05.371285 -  latency: 2.174854 ms
2020-02-25 10:50:05.377969 -  latency: 3.396988 ms
2020-02-25 10:50:05.382931 -  latency: 2.887964 ms
2020-02-25 10:50:05.387727 -  latency: 2.207041 ms
2020-02-25 10:50:05.394536 -  latency: 3.541946 ms
2020-02-25 10:50:05.399120 -  latency: 2.706051 ms
2020-02-25 10:50:05.404047 -  latency: 2.191067 ms
2020-02-25 10:50:05.411295 -  latency: 3.960848 ms
2020-02-25 10:50:05.415826 -  latency: 3.019810 ms
2020-02-25 10:50:05.420455 -  latency: 2.206087 ms
2020-02-25 10:50:05.427006 -  latency: 3.334045 ms
2020-02-25 10:50:05.431979 -  latency: 2.881050 ms
2020-02-25 10:50:05.436853 -  latency: 2.361059 ms
2020-02-25 10:50:05.443474 -  latency: 3.506184 ms
2020-02-25 10:50:05.448247 -  latency: 2.768040 ms
2020-02-25 10:50:05.453223 -  latency: 2.269030 ms
2020-02-25 10:50:05.459878 -  latency: 3.462076 ms
2020-02-25 10:50:05.464578 -  latency: 2.698898 ms
2020-02-25 10:50:05.469445 -  latency: 2.210140 ms
2020-02-25 10:50:05.476090 -  latency: 3.499031 ms
2020-02-25 10:50:05.480860 -  latency: 2.803087 ms
2020-02-25 10:50:05.486198 -  latency: 2.670050 ms
2020-02-25 10:50:05.492569 -  latency: 3.551960 ms
2020-02-25 10:50:05.497338 -  latency: 2.819061 ms
2020-02-25 10:50:05.502266 -  latency: 2.275944 ms
2020-02-25 10:50:05.508910 -  latency: 3.446817 ms
2020-02-25 10:50:05.513739 -  latency: 2.799988 ms
2020-02-25 10:50:05.518584 -  latency: 2.170086 ms
2020-02-25 10:50:05.525824 -  latency: 3.921032 ms
2020-02-25 10:50:05.530118 -  latency: 2.727985 ms
2020-02-25 10:50:05.535157 -  latency: 2.281904 ms
2020-02-25 10:50:05.541925 -  latency: 3.572941 ms
2020-02-25 10:50:05.546534 -  latency: 2.712011 ms
2020-02-25 10:50:05.551394 -  latency: 2.107143 ms
2020-02-25 10:50:05.558013 -  latency: 3.230095 ms
2020-02-25 10:50:05.563376 -  latency: 3.172874 ms
2020-02-25 10:50:05.567905 -  latency: 2.171993 ms
2020-02-25 10:50:05.574636 -  latency: 3.421068 ms
2020-02-25 10:50:05.579597 -  latency: 2.917051 ms
2020-02-25 10:50:05.584255 -  latency: 2.156019 ms
2020-02-25 10:50:05.590872 -  latency: 3.297091 ms
2020-02-25 10:50:05.595957 -  latency: 2.916098 ms
2020-02-25 10:50:05.600785 -  latency: 2.271175 ms
2020-02-25 10:50:05.607104 -  latency: 3.173113 ms
2020-02-25 10:50:05.612204 -  latency: 2.804041 ms
2020-02-25 10:50:05.617157 -  latency: 2.259970 ms
2020-02-25 10:50:05.624587 -  latency: 4.225969 ms
2020-02-25 10:50:05.628783 -  latency: 2.927065 ms
2020-02-25 10:50:05.633548 -  latency: 2.218008 ms
2020-02-25 10:50:05.640967 -  latency: 4.209995 ms
2020-02-25 10:50:05.645149 -  latency: 2.947092 ms
2020-02-25 10:50:05.649939 -  latency: 2.207994 ms
