2020-02-19 11:21:34.624176 -  latency: 5.124807 ms
2020-02-19 11:21:34.626766 -  latency: 2.357006 ms
2020-02-19 11:21:34.635736 -  latency: 5.878925 ms
2020-02-19 11:21:34.641168 -  latency: 5.376816 ms
2020-02-19 11:21:34.645331 -  latency: 2.269983 ms
2020-02-19 11:21:34.651735 -  latency: 3.166199 ms
2020-02-19 11:21:34.657650 -  latency: 3.660917 ms
2020-02-19 11:21:34.661575 -  latency: 2.162933 ms
2020-02-19 11:21:34.666918 -  latency: 2.132177 ms
2020-02-19 11:21:34.673708 -  latency: 3.464937 ms
2020-02-19 11:21:34.677740 -  latency: 2.030849 ms
2020-02-19 11:21:34.684093 -  latency: 2.937078 ms
2020-02-19 11:21:34.689978 -  latency: 3.372908 ms
2020-02-19 11:21:34.694277 -  latency: 2.282143 ms
2020-02-19 11:21:34.699534 -  latency: 2.076864 ms
2020-02-19 11:21:34.706303 -  latency: 3.366947 ms
2020-02-19 11:21:34.710362 -  latency: 2.038002 ms
2020-02-19 11:21:34.718598 -  latency: 4.832029 ms
2020-02-19 11:21:34.723592 -  latency: 4.427195 ms
2020-02-19 11:21:34.726639 -  latency: 2.007008 ms
2020-02-19 11:21:34.738890 -  latency: 3.316879 ms
2020-02-19 11:21:34.743102 -  latency: 2.121210 ms
2020-02-19 11:21:34.749234 -  latency: 19.135952 ms
2020-02-19 11:21:34.750640 -  latency: 4.195929 ms
2020-02-19 11:21:34.755170 -  latency: 3.261805 ms
2020-02-19 11:21:34.759433 -  latency: 2.056122 ms
2020-02-19 11:21:34.766129 -  latency: 3.340006 ms
2020-02-19 11:21:34.772176 -  latency: 3.101110 ms
2020-02-19 11:21:34.776550 -  latency: 2.063990 ms
2020-02-19 11:21:34.781911 -  latency: 1.960993 ms
2020-02-19 11:21:34.788699 -  latency: 3.294945 ms
2020-02-19 11:21:34.792975 -  latency: 2.114058 ms
2020-02-19 11:21:34.798369 -  latency: 2.045870 ms
2020-02-19 11:21:34.805053 -  latency: 3.238916 ms
2020-02-19 11:21:34.809328 -  latency: 2.038002 ms
2020-02-19 11:21:34.814701 -  latency: 1.999855 ms
2020-02-19 11:21:34.821348 -  latency: 3.224850 ms
2020-02-19 11:21:34.825614 -  latency: 1.988888 ms
2020-02-19 11:21:34.831079 -  latency: 1.991034 ms
2020-02-19 11:21:34.837860 -  latency: 3.313065 ms
2020-02-19 11:21:34.842667 -  latency: 2.634048 ms
2020-02-19 11:21:34.847465 -  latency: 1.936913 ms
2020-02-19 11:21:34.854287 -  latency: 3.341913 ms
2020-02-19 11:21:34.858425 -  latency: 2.043009 ms
2020-02-19 11:21:34.864356 -  latency: 2.531052 ms
2020-02-19 11:21:34.870602 -  latency: 3.340960 ms
2020-02-19 11:21:34.874763 -  latency: 2.030134 ms
2020-02-19 11:21:34.880203 -  latency: 2.000093 ms
2020-02-19 11:21:34.886920 -  latency: 3.306866 ms
2020-02-19 11:21:34.891006 -  latency: 1.928091 ms
2020-02-19 11:21:34.896523 -  latency: 2.020121 ms
2020-02-19 11:21:34.903197 -  latency: 3.252983 ms
2020-02-19 11:21:34.907528 -  latency: 2.161980 ms
2020-02-19 11:21:34.913025 -  latency: 2.180099 ms
2020-02-19 11:21:34.920093 -  latency: 3.775120 ms
2020-02-19 11:21:34.923868 -  latency: 2.029896 ms
2020-02-19 11:21:34.929355 -  latency: 2.039909 ms
2020-02-19 11:21:34.936105 -  latency: 3.314972 ms
2020-02-19 11:21:34.940348 -  latency: 2.084017 ms
2020-02-19 11:21:34.945759 -  latency: 2.022028 ms
2020-02-19 11:21:34.952600 -  latency: 3.391027 ms
2020-02-19 11:21:34.956839 -  latency: 2.127886 ms
2020-02-19 11:21:34.968995 -  latency: 3.396988 ms
2020-02-19 11:21:34.973141 -  latency: 2.094030 ms
2020-02-19 11:21:34.975827 -  latency: 15.641928 ms
2020-02-19 11:21:34.978631 -  latency: 2.181053 ms
2020-02-19 11:21:34.985292 -  latency: 3.331900 ms
2020-02-19 11:21:34.989461 -  latency: 2.038956 ms
2020-02-19 11:21:34.995329 -  latency: 2.434015 ms
2020-02-19 11:21:35.001604 -  latency: 3.265142 ms
2020-02-19 11:21:35.005869 -  latency: 2.060890 ms
2020-02-19 11:21:35.011284 -  latency: 2.016068 ms
2020-02-19 11:21:35.018088 -  latency: 3.350019 ms
2020-02-19 11:21:35.022325 -  latency: 2.123117 ms
2020-02-19 11:21:35.029732 -  latency: 4.048109 ms
2020-02-19 11:21:35.034405 -  latency: 3.262043 ms
2020-02-19 11:21:35.038715 -  latency: 2.072811 ms
2020-02-19 11:21:35.044154 -  latency: 2.042055 ms
2020-02-19 11:21:35.050917 -  latency: 3.342867 ms
2020-02-19 11:21:35.054955 -  latency: 1.951933 ms
2020-02-19 11:21:35.067237 -  latency: 3.270864 ms
2020-02-19 11:21:35.071434 -  latency: 2.027035 ms
2020-02-19 11:21:35.084129 -  latency: 3.730059 ms
2020-02-19 11:21:35.087131 -  latency: 28.658152 ms
2020-02-19 11:21:35.089365 -  latency: 2.182007 ms
2020-02-19 11:21:35.091015 -  latency: 16.094923 ms
2020-02-19 11:21:35.095406 -  latency: 2.679110 ms
2020-02-19 11:21:35.101410 -  latency: 3.257036 ms
2020-02-19 11:21:35.105663 -  latency: 2.086163 ms
2020-02-19 11:21:35.111200 -  latency: 2.155781 ms
2020-02-19 11:21:35.117737 -  latency: 3.257990 ms
2020-02-19 11:21:35.121867 -  latency: 1.965046 ms
2020-02-19 11:21:35.127307 -  latency: 2.016068 ms
2020-02-19 11:21:35.133874 -  latency: 3.119946 ms
2020-02-19 11:21:35.138316 -  latency: 2.093792 ms
2020-02-19 11:21:35.143816 -  latency: 2.098083 ms
2020-02-19 11:21:35.150736 -  latency: 3.544807 ms
2020-02-19 11:21:35.154730 -  latency: 2.068996 ms
2020-02-19 11:21:35.160261 -  latency: 2.177000 ms
2020-02-19 11:21:35.166691 -  latency: 3.106117 ms
2020-02-19 11:21:35.171203 -  latency: 2.099037 ms
2020-02-19 11:21:35.177283 -  latency: 2.685070 ms
2020-02-19 11:21:35.183258 -  latency: 3.173113 ms
2020-02-19 11:21:35.187553 -  latency: 2.026081 ms
2020-02-19 11:21:35.193177 -  latency: 2.173901 ms
2020-02-19 11:21:35.199548 -  latency: 3.065109 ms
2020-02-19 11:21:35.203978 -  latency: 2.030134 ms
2020-02-19 11:21:35.209718 -  latency: 2.329111 ms
2020-02-19 11:21:35.216140 -  latency: 3.259182 ms
2020-02-19 11:21:35.221068 -  latency: 2.754927 ms
2020-02-19 11:21:35.226222 -  latency: 2.458811 ms
2020-02-19 11:21:35.232447 -  latency: 3.230095 ms
2020-02-19 11:21:35.237000 -  latency: 2.354145 ms
2020-02-19 11:21:35.242250 -  latency: 2.115011 ms
2020-02-19 11:21:35.248969 -  latency: 3.325224 ms
2020-02-19 11:21:35.253396 -  latency: 2.254963 ms
2020-02-19 11:21:35.258689 -  latency: 2.044916 ms
2020-02-19 11:21:35.265334 -  latency: 3.188848 ms
2020-02-19 11:21:35.269909 -  latency: 2.269030 ms
2020-02-19 11:21:35.275269 -  latency: 2.124071 ms
2020-02-19 11:21:35.281790 -  latency: 3.161907 ms
2020-02-19 11:21:35.286265 -  latency: 2.200842 ms
2020-02-19 11:21:35.291755 -  latency: 2.197981 ms
2020-02-19 11:21:35.298283 -  latency: 3.209829 ms
2020-02-19 11:21:35.303335 -  latency: 2.771854 ms
2020-02-19 11:21:35.308419 -  latency: 2.417088 ms
2020-02-19 11:21:35.314601 -  latency: 3.145933 ms
2020-02-19 11:21:35.319085 -  latency: 2.120972 ms
2020-02-19 11:21:35.324654 -  latency: 2.205849 ms
2020-02-19 11:21:35.330993 -  latency: 3.103018 ms
2020-02-19 11:21:35.335492 -  latency: 2.159834 ms
2020-02-19 11:21:35.340852 -  latency: 2.073050 ms
2020-02-19 11:21:35.347406 -  latency: 3.139973 ms
2020-02-19 11:21:35.351905 -  latency: 2.128839 ms
2020-02-19 11:21:35.357347 -  latency: 2.094984 ms
2020-02-19 11:21:35.363866 -  latency: 3.135920 ms
2020-02-19 11:21:35.368366 -  latency: 2.191067 ms
2020-02-19 11:21:35.373677 -  latency: 2.061129 ms
2020-02-19 11:21:35.380803 -  latency: 3.749847 ms
2020-02-19 11:21:35.384786 -  latency: 2.243996 ms
2020-02-19 11:21:35.390129 -  latency: 2.063990 ms
2020-02-19 11:21:35.396806 -  latency: 3.252983 ms
2020-02-19 11:21:35.401165 -  latency: 2.162933 ms
2020-02-19 11:21:35.406421 -  latency: 2.024889 ms
2020-02-19 11:21:35.413081 -  latency: 3.221989 ms
2020-02-19 11:21:35.417521 -  latency: 2.173901 ms
2020-02-19 11:21:35.422801 -  latency: 2.011061 ms
2020-02-19 11:21:35.429301 -  latency: 3.077030 ms
2020-02-19 11:21:35.433878 -  latency: 2.166033 ms
2020-02-19 11:21:35.439227 -  latency: 2.022982 ms
2020-02-19 11:21:35.445705 -  latency: 3.062010 ms
2020-02-19 11:21:35.450316 -  latency: 2.185106 ms
2020-02-19 11:21:35.456215 -  latency: 2.573967 ms
2020-02-19 11:21:35.462251 -  latency: 3.165960 ms
2020-02-19 11:21:35.466796 -  latency: 2.192020 ms
2020-02-19 11:21:35.472118 -  latency: 2.033949 ms
2020-02-19 11:21:35.478794 -  latency: 3.218889 ms
2020-02-19 11:21:35.483089 -  latency: 2.073050 ms
2020-02-19 11:21:35.488497 -  latency: 2.084017 ms
2020-02-19 11:21:35.494968 -  latency: 3.107071 ms
2020-02-19 11:21:35.499440 -  latency: 2.137899 ms
2020-02-19 11:21:35.504830 -  latency: 2.091885 ms
2020-02-19 11:21:35.511389 -  latency: 3.179073 ms
2020-02-19 11:21:35.515814 -  latency: 2.141953 ms
2020-02-19 11:21:35.521236 -  latency: 2.084970 ms
2020-02-19 11:21:35.527858 -  latency: 3.269911 ms
2020-02-19 11:21:35.533189 -  latency: 3.170013 ms
2020-02-19 11:21:35.540712 -  latency: 5.190849 ms
2020-02-19 11:21:35.544302 -  latency: 3.314018 ms
2020-02-19 11:21:35.548687 -  latency: 2.209902 ms
2020-02-19 11:21:35.553986 -  latency: 2.030134 ms
2020-02-19 11:21:35.560634 -  latency: 3.232956 ms
2020-02-19 11:21:35.564964 -  latency: 2.124071 ms
2020-02-19 11:21:35.570300 -  latency: 2.032042 ms
2020-02-19 11:21:35.577048 -  latency: 3.278017 ms
2020-02-19 11:21:35.581317 -  latency: 2.106905 ms
2020-02-19 11:21:35.586664 -  latency: 2.006054 ms
2020-02-19 11:21:35.593284 -  latency: 3.185987 ms
2020-02-19 11:21:35.597725 -  latency: 2.150059 ms
2020-02-19 11:21:35.603018 -  latency: 2.000093 ms
2020-02-19 11:21:35.609541 -  latency: 3.080845 ms
2020-02-19 11:21:35.614523 -  latency: 2.620935 ms
2020-02-19 11:21:35.619458 -  latency: 2.052069 ms
2020-02-19 11:21:35.626019 -  latency: 3.159046 ms
2020-02-19 11:21:35.630476 -  latency: 2.178907 ms
2020-02-19 11:21:35.635828 -  latency: 2.026081 ms
2020-02-19 11:21:35.642414 -  latency: 3.134966 ms
2020-02-19 11:21:35.646853 -  latency: 2.131939 ms
2020-02-19 11:21:35.652219 -  latency: 2.049208 ms
2020-02-19 11:21:35.658795 -  latency: 3.146887 ms
2020-02-19 11:21:35.663359 -  latency: 2.269983 ms
2020-02-19 11:21:35.668577 -  latency: 2.052069 ms
2020-02-19 11:21:35.675257 -  latency: 3.223896 ms
2020-02-19 11:21:35.679648 -  latency: 2.171993 ms
2020-02-19 11:21:35.685049 -  latency: 2.125978 ms
2020-02-19 11:21:35.691577 -  latency: 3.168106 ms
2020-02-19 11:21:35.696560 -  latency: 2.650023 ms
2020-02-19 11:21:35.701458 -  latency: 2.108097 ms
2020-02-19 11:21:35.708008 -  latency: 3.199100 ms
2020-02-19 11:21:35.712417 -  latency: 2.159834 ms
2020-02-19 11:21:35.717775 -  latency: 2.041817 ms
2020-02-19 11:21:35.724407 -  latency: 3.226042 ms
2020-02-19 11:21:35.728859 -  latency: 2.189875 ms
2020-02-19 11:21:35.734141 -  latency: 2.032995 ms
2020-02-19 11:21:35.740840 -  latency: 3.258944 ms
2020-02-19 11:21:35.745171 -  latency: 2.110004 ms
2020-02-19 11:21:35.750552 -  latency: 2.012014 ms
2020-02-19 11:21:35.757205 -  latency: 3.189087 ms
2020-02-19 11:21:35.761685 -  latency: 2.228022 ms
2020-02-19 11:21:35.766987 -  latency: 2.087831 ms
2020-02-19 11:21:35.773588 -  latency: 3.215075 ms
2020-02-19 11:21:35.778691 -  latency: 2.882004 ms
2020-02-19 11:21:35.784050 -  latency: 2.128124 ms
2020-02-19 11:21:35.790630 -  latency: 3.269196 ms
2020-02-19 11:21:35.794983 -  latency: 2.178907 ms
2020-02-19 11:21:35.800340 -  latency: 2.091885 ms
2020-02-19 11:21:35.806886 -  latency: 3.196955 ms
2020-02-19 11:21:35.811295 -  latency: 2.163172 ms
2020-02-19 11:21:35.816734 -  latency: 2.120018 ms
2020-02-19 11:21:35.823207 -  latency: 3.117800 ms
2020-02-19 11:21:35.827704 -  latency: 2.174854 ms
2020-02-19 11:21:35.834065 -  latency: 3.096104 ms
2020-02-19 11:21:35.839539 -  latency: 3.126144 ms
2020-02-19 11:21:35.844042 -  latency: 2.173185 ms
2020-02-19 11:21:35.849404 -  latency: 2.094984 ms
2020-02-19 11:21:35.856445 -  latency: 3.684998 ms
2020-02-19 11:21:35.860360 -  latency: 2.162933 ms
2020-02-19 11:21:35.865859 -  latency: 2.206087 ms
2020-02-19 11:21:35.872257 -  latency: 3.162146 ms
2020-02-19 11:21:35.876733 -  latency: 2.195120 ms
2020-02-19 11:21:35.882110 -  latency: 2.060175 ms
2020-02-19 11:21:35.888702 -  latency: 3.209829 ms
2020-02-19 11:21:35.893190 -  latency: 2.223015 ms
2020-02-19 11:21:35.898570 -  latency: 2.126217 ms
2020-02-19 11:21:35.905088 -  latency: 3.182888 ms
2020-02-19 11:21:35.909510 -  latency: 2.166986 ms
2020-02-19 11:21:35.919836 -  latency: 7.010937 ms
2020-02-19 11:21:35.922896 -  latency: 4.364014 ms
2020-02-19 11:21:35.926095 -  latency: 2.130032 ms
2020-02-19 11:21:35.931474 -  latency: 2.073050 ms
2020-02-19 11:21:35.938631 -  latency: 3.792048 ms
2020-02-19 11:21:35.943118 -  latency: 2.202988 ms
2020-02-19 11:21:35.948498 -  latency: 2.088070 ms
2020-02-19 11:21:35.955050 -  latency: 3.149986 ms
2020-02-19 11:21:35.959506 -  latency: 2.113104 ms
2020-02-19 11:21:35.971383 -  latency: 8.551836 ms
2020-02-19 11:21:35.972802 -  latency: 4.531860 ms
2020-02-19 11:21:35.975827 -  latency: 2.077103 ms
2020-02-19 11:21:35.983496 -  latency: 4.257917 ms
2020-02-19 11:21:35.987643 -  latency: 2.969027 ms
2020-02-19 11:21:35.992279 -  latency: 2.161980 ms
2020-02-19 11:21:36.003326 -  latency: 7.766008 ms
2020-02-19 11:21:36.004706 -  latency: 3.664017 ms
2020-02-19 11:21:36.008679 -  latency: 2.215862 ms
2020-02-19 11:21:36.015199 -  latency: 3.242970 ms
2020-02-19 11:21:36.020606 -  latency: 3.144979 ms
2020-02-19 11:21:36.025141 -  latency: 2.223969 ms
2020-02-19 11:21:36.030492 -  latency: 2.134085 ms
2020-02-19 11:21:36.036992 -  latency: 3.168106 ms
2020-02-19 11:21:36.041451 -  latency: 2.145052 ms
2020-02-19 11:21:36.046803 -  latency: 2.053976 ms
2020-02-19 11:21:36.053310 -  latency: 3.117800 ms
2020-02-19 11:21:36.057701 -  latency: 2.066851 ms
2020-02-19 11:21:36.063172 -  latency: 2.099991 ms
2020-02-19 11:21:36.069595 -  latency: 3.038883 ms
2020-02-19 11:21:36.074173 -  latency: 2.201080 ms
2020-02-19 11:21:36.083750 -  latency: 6.263971 ms
2020-02-19 11:21:36.086606 -  latency: 3.200054 ms
2020-02-19 11:21:36.091129 -  latency: 2.197027 ms
2020-02-19 11:21:36.097031 -  latency: 2.660990 ms
2020-02-19 11:21:36.102764 -  latency: 2.958775 ms
2020-02-19 11:21:36.107371 -  latency: 2.106905 ms
2020-02-19 11:21:36.112897 -  latency: 2.148867 ms
2020-02-19 11:21:36.119221 -  latency: 3.031969 ms
2020-02-19 11:21:36.123752 -  latency: 2.104998 ms
2020-02-19 11:21:36.129086 -  latency: 1.996040 ms
2020-02-19 11:21:36.135396 -  latency: 2.862930 ms
2020-02-19 11:21:36.140121 -  latency: 2.111912 ms
2020-02-19 11:21:36.152063 -  latency: 3.131866 ms
2020-02-19 11:21:36.156482 -  latency: 2.129078 ms
2020-02-19 11:21:36.168391 -  latency: 3.112078 ms
2020-02-19 11:21:36.170531 -  latency: 27.079105 ms
2020-02-19 11:21:36.172344 -  latency: 12.555122 ms
2020-02-19 11:21:36.174459 -  latency: 3.785133 ms
2020-02-19 11:21:36.178801 -  latency: 2.774954 ms
2020-02-19 11:21:36.185418 -  latency: 3.340006 ms
2020-02-19 11:21:36.189666 -  latency: 2.169132 ms
2020-02-19 11:21:36.195035 -  latency: 2.098083 ms
2020-02-19 11:21:36.201618 -  latency: 3.205061 ms
2020-02-19 11:21:36.206024 -  latency: 2.132893 ms
2020-02-19 11:21:36.211412 -  latency: 2.079964 ms
2020-02-19 11:21:36.217909 -  latency: 3.131866 ms
2020-02-19 11:21:36.222556 -  latency: 2.296925 ms
2020-02-19 11:21:36.227825 -  latency: 2.104998 ms
2020-02-19 11:21:36.234362 -  latency: 3.201008 ms
2020-02-19 11:21:36.238725 -  latency: 2.130032 ms
2020-02-19 11:21:36.245202 -  latency: 3.170967 ms
2020-02-19 11:21:36.250538 -  latency: 3.065825 ms
2020-02-19 11:21:36.255679 -  latency: 2.723932 ms
2020-02-19 11:21:36.260542 -  latency: 2.148867 ms
2020-02-19 11:21:36.266954 -  latency: 3.108025 ms
2020-02-19 11:21:36.271443 -  latency: 2.152920 ms
2020-02-19 11:21:36.276860 -  latency: 2.125025 ms
