2020-02-19 08:37:59.488884 -  latency: 3.405094 ms
2020-02-19 08:37:59.493117 -  latency: 2.245188 ms
2020-02-19 08:37:59.498666 -  latency: 2.371073 ms
2020-02-19 08:37:59.506286 -  latency: 4.559040 ms
2020-02-19 08:37:59.509424 -  latency: 2.219915 ms
2020-02-19 08:37:59.514734 -  latency: 2.049923 ms
2020-02-19 08:37:59.520786 -  latency: 2.675056 ms
2020-02-19 08:37:59.525822 -  latency: 2.202034 ms
2020-02-19 08:37:59.531159 -  latency: 2.073050 ms
2020-02-19 08:37:59.537109 -  latency: 2.561808 ms
2020-02-19 08:37:59.542137 -  latency: 2.115011 ms
2020-02-19 08:37:59.547486 -  latency: 2.055168 ms
2020-02-19 08:37:59.553368 -  latency: 2.519846 ms
2020-02-19 08:37:59.558459 -  latency: 2.130985 ms
2020-02-19 08:37:59.564175 -  latency: 2.355814 ms
2020-02-19 08:37:59.569868 -  latency: 2.574921 ms
2020-02-19 08:37:59.574880 -  latency: 2.099037 ms
2020-02-19 08:37:59.580277 -  latency: 2.028942 ms
2020-02-19 08:37:59.586248 -  latency: 2.538919 ms
2020-02-19 08:37:59.591297 -  latency: 2.115965 ms
2020-02-19 08:37:59.596717 -  latency: 2.063036 ms
2020-02-19 08:37:59.602688 -  latency: 2.565145 ms
2020-02-19 08:37:59.607743 -  latency: 2.151966 ms
2020-02-19 08:37:59.613180 -  latency: 2.132893 ms
2020-02-19 08:37:59.618974 -  latency: 2.510071 ms
2020-02-19 08:37:59.624071 -  latency: 2.127886 ms
2020-02-19 08:37:59.629362 -  latency: 2.003193 ms
2020-02-19 08:37:59.635879 -  latency: 3.036976 ms
2020-02-19 08:37:59.640447 -  latency: 2.086878 ms
2020-02-19 08:37:59.645781 -  latency: 1.993179 ms
2020-02-19 08:37:59.651809 -  latency: 2.550125 ms
2020-02-19 08:37:59.656941 -  latency: 2.208948 ms
2020-02-19 08:37:59.662152 -  latency: 1.955986 ms
2020-02-19 08:37:59.668052 -  latency: 2.409935 ms
2020-02-19 08:37:59.673219 -  latency: 2.157927 ms
2020-02-19 08:37:59.678511 -  latency: 1.969814 ms
2020-02-19 08:37:59.684630 -  latency: 2.557993 ms
2020-02-19 08:37:59.689650 -  latency: 2.096176 ms
2020-02-19 08:37:59.694951 -  latency: 1.938105 ms
2020-02-19 08:37:59.701054 -  latency: 2.620935 ms
2020-02-19 08:37:59.705976 -  latency: 2.119064 ms
2020-02-19 08:37:59.711697 -  latency: 2.364874 ms
2020-02-19 08:37:59.717334 -  latency: 2.513170 ms
2020-02-19 08:37:59.722320 -  latency: 2.086878 ms
2020-02-19 08:37:59.727631 -  latency: 1.963854 ms
2020-02-19 08:37:59.733693 -  latency: 2.553225 ms
2020-02-19 08:37:59.738697 -  latency: 2.079010 ms
2020-02-19 08:37:59.744081 -  latency: 1.991987 ms
2020-02-19 08:37:59.750098 -  latency: 2.593040 ms
2020-02-19 08:37:59.755118 -  latency: 2.138853 ms
2020-02-19 08:37:59.760537 -  latency: 2.151966 ms
2020-02-19 08:37:59.766466 -  latency: 2.612829 ms
2020-02-19 08:37:59.771445 -  latency: 2.115965 ms
2020-02-19 08:37:59.776834 -  latency: 2.090931 ms
2020-02-19 08:37:59.782812 -  latency: 2.655029 ms
2020-02-19 08:37:59.788410 -  latency: 2.700090 ms
2020-02-19 08:37:59.793263 -  latency: 2.035856 ms
2020-02-19 08:37:59.799233 -  latency: 2.574921 ms
2020-02-19 08:37:59.804297 -  latency: 2.166986 ms
2020-02-19 08:37:59.809784 -  latency: 2.178907 ms
2020-02-19 08:37:59.815685 -  latency: 2.604961 ms
2020-02-19 08:37:59.820746 -  latency: 2.187967 ms
2020-02-19 08:37:59.826086 -  latency: 2.063990 ms
2020-02-19 08:37:59.832146 -  latency: 2.650023 ms
2020-02-19 08:37:59.837167 -  latency: 2.181053 ms
2020-02-19 08:37:59.842463 -  latency: 2.002954 ms
2020-02-19 08:37:59.848558 -  latency: 2.604961 ms
2020-02-19 08:37:59.853478 -  latency: 2.059937 ms
2020-02-19 08:37:59.858899 -  latency: 2.024174 ms
