	key	node
125	-9143999721040685638	cass-2
115	-9123815293901588964	CASS-3---
127	-9106466129954656582	cass-1
126	-9081811817156609810	cass-1
124	-9072529896503279143	cass-2
123	-9020156821264056802	cass-2
122	-9016882374953463146	cass-2
125	-8996620995839752634	cass-1
124	-8996199015296205486	cass-1
114	-8993381494224542545	CASS-3---
123	-8964314351493360463	cass-1
120	-8953429491642972051	cass-2
122	-8919435688874032844	cass-1
121	-8898990904705859994	cass-1
119	-8879836251598223932	cass-2
120	-8858976932282208120	cass-1
119	-8830514916768049156	cass-1
118	-8811821259183785415	cass-1
113	-8779163548817237028	CASS-3---
117	-8777200372174808318	cass-2
112	-8767162580620205537	CASS-3---
116	-8765483388182446936	cass-1
115	-8696461029757022016	cass-1
116	-8593710331890755081	cass-2
115	-8519968179879812422	cass-2
114	-8492676723501390653	cass-1
113	-8464221120012530408	cass-1
112	-8442010413378680367	cass-1
111	-8433747054843738001	cass-1
110	-8429193049793767796	cass-1
114	-8423444852118547491	cass-2
113	-8402177360719458761	cass-2
109	-8396411621213850934	cass-1
108	-8392917020917707111	CASS-3---
108	-8379788219618578408	cass-1
107	-8365896784268786457	CASS-3---
106	-8225657826169344717	CASS-3---
112	-8205253740428470993	cass-2
107	-8182947025449939170	cass-1
105	-8182401155686780902	CASS-3---
110	-8176539942028428123	cass-2
106	-8139192423992157695	cass-1
109	-8130640607282159005	cass-2
105	-8128904217276736597	cass-1
104	-8113283894652506230	CASS-3---
104	-8111018697430033936	cass-1
108	-8089258665768666062	cass-2
103	-8041469955855839824	cass-1
102	-7992468271692896798	CASS-3---
102	-7932021914191087854	cass-1
106	-7906536591535073361	cass-2
101	-7865655836482481916	cass-1
105	-7864567149178655075	cass-2
100	-7851066536558289494	cass-1
101	-7838196451508034466	CASS-3---
99	-7833275009664244541	cass-1
103	-7825633875871974004	cass-2
102	-7820824195120560695	cass-2
101	-7792939865634620474	cass-2
98	-7782377023385834826	cass-1
97	-7764715196262463840	cass-1
96	-7749599159783828243	cass-1
95	-7737610263525282675	cass-1
100	-7727797501863573139	CASS-3---
99	-7724781514071254971	CASS-3---
94	-7712670718963303488	cass-1
100	-7699937188501548854	cass-2
98	-7632225936850336458	CASS-3---
93	-7613164843950325257	cass-1
92	-7568413906937968859	cass-1
91	-7560157205808380814	cass-1
97	-7523092599303073666	cass-2
96	-7511816846132251595	cass-2
90	-7511398545609384548	cass-1
89	-7490475491323797694	cass-1
97	-7483413230672288800	CASS-3---
95	-7469844801082000592	cass-2
94	-7437260151425036311	cass-2
93	-7366856971548848317	cass-2
92	-7361846472806378616	cass-2
91	-7348304603958101801	cass-2
96	-7329248730238145928	CASS-3---
90	-7274545630954679683	cass-2
89	-7273423572820068923	cass-2
95	-7261474660614524431	CASS-3---
88	-7258149451926551820	cass-1
87	-7252021059390130212	cass-1
88	-7213527879692479588	cass-2
87	-7204883250742180770	cass-2
86	-7152030873001793184	cass-2
86	-7101269608175119599	cass-1
94	-7092975992181730300	CASS-3---
85	-7083336458177851236	cass-2
84	-7065364407046944903	cass-2
93	-7064865306375062820	CASS-3---
85	-6990158837282097297	cass-1
84	-6983753700221635802	cass-1
83	-6963196002189968136	cass-1
92	-6956819356391084902	CASS-3---
83	-6938807042288841086	cass-2
82	-6912959762530727823	cass-1
91	-6909803590577336044	CASS-3---
82	-6908588541036434409	cass-2
90	-6878789030812718323	CASS-3---
81	-6860623455987868280	cass-2
80	-6859902750473510915	cass-2
79	-6858926319421342048	cass-2
89	-6769399127463896759	CASS-3---
81	-6753214722058782244	cass-1
80	-6730924445175844548	cass-1
87	-6661051191711338334	CASS-3---
86	-6644000232617531085	CASS-3---
78	-6619535336068017189	cass-1
85	-6563122728408464045	CASS-3---
77	-6545857224026250255	cass-1
76	-6519496973161007751	cass-1
84	-6494392037422076915	CASS-3---
83	-6483913363804750352	CASS-3---
78	-6458108474265836435	cass-2
77	-6451656338862346532	cass-2
82	-6436963094923214726	CASS-3---
75	-6434152763985561227	cass-1
74	-6419751849188578515	cass-1
81	-6419245518036568909	CASS-3---
80	-6411494297693226896	CASS-3---
76	-6397454740090662240	cass-2
75	-6374307643393745526	cass-2
79	-6367148368533615751	CASS-3---
73	-6363784969292568112	cass-1
71	-6325122692584036701	cass-1
78	-6320099536527177841	CASS-3---
74	-6312236486093557589	cass-2
73	-6309817621987998694	cass-2
70	-6305518440251171847	cass-1
69	-6282753328538414228	cass-1
68	-6272548894405056707	cass-1
67	-6264966879950075919	cass-1
77	-6200092984507226571	CASS-3---
66	-6199846156415668117	cass-1
65	-6191779102912701887	cass-1
64	-6152934720349689839	cass-1
76	-6032652415604508157	CASS-3---
72	-6023792434159867919	cass-2
75	-6021831266366343116	CASS-3---
71	-6007155889995341527	cass-2
70	-5992947775106602042	cass-2
69	-5926690846096403015	cass-2
68	-5900989308262420151	cass-2
63	-5894044061985980159	cass-1
74	-5891088868221015522	CASS-3---
62	-5888537982597386106	cass-1
61	-5866107798198420338	cass-1
73	-5769885018218818441	CASS-3---
65	-5740699704781872352	cass-2
72	-5624290993413929918	CASS-3---
59	-5577656340875617697	cass-1
70	-5566555767143918421	CASS-3---
68	-5509025421871242842	CASS-3---
64	-5502547918668409928	cass-2
67	-5473474956108965201	CASS-3---
58	-5459761503600971216	cass-1
66	-5446027334492467815	CASS-3---
65	-5382233919158145893	CASS-3---
57	-5368838440289555788	cass-1
56	-5361406791779370129	cass-1
64	-5343608514313049463	CASS-3---
63	-5294039580958837881	CASS-3---
61	-5243849457790718570	CASS-3---
60	-5231877497464722508	CASS-3---
61	-5216831869935264196	cass-2
60	-5208589085391144597	cass-2
59	-5202349149446201079	cass-2
58	-5186910474273315220	cass-2
55	-5174741310925532583	cass-1
57	-5157113311317872078	cass-2
56	-5146005194519579167	cass-2
55	-5121654473832994067	cass-2
59	-5105210820849665358	CASS-3---
58	-5083615363444786881	CASS-3---
54	-5051689085404067264	cass-1
57	-5031734036271476131	CASS-3---
53	-4953628168454698725	cass-1
52	-4936085520974839400	cass-1
51	-4921435609929163484	cass-1
50	-4908550769303569444	cass-1
54	-4888815338752926533	cass-2
56	-4881195644378095213	CASS-3---
49	-4763488461898632171	cass-1
53	-4736786331538589943	cass-2
48	-4720900211668062087	cass-1
47	-4703317762583455366	cass-1
46	-4686910820360476504	cass-1
55	-4651424842123637790	CASS-3---
45	-4645645659123372957	cass-1
52	-4600747365937911672	cass-2
54	-4556693459848345893	CASS-3---
53	-4556346802904727996	CASS-3---
52	-4517435164349827182	CASS-3---
51	-4502140647098570050	CASS-3---
51	-4447295585642122984	cass-2
50	-4423994472722157239	CASS-3---
49	-4418584046425620810	CASS-3---
50	-4398876283367709483	cass-2
44	-4388558448981235334	cass-1
48	-4385768498013878665	CASS-3---
49	-4323996644804748405	cass-2
46	-4313437280980314695	CASS-3---
45	-4286914645519672686	CASS-3---
44	-4283838389159740356	CASS-3---
43	-4272478320755653517	cass-1
48	-4245812897684142990	cass-2
47	-4244669548293838522	cass-2
46	-4220949709841237170	cass-2
42	-4168813699050660999	cass-1
41	-4147754487603395918	cass-1
45	-4135892762333078412	cass-2
40	-4091247821552986702	cass-1
39	-4088447020982877418	cass-1
38	-4044625593234372970	cass-1
