2020-02-25 21:54:20.407607 -  latency: 3.201962 ms
2020-02-25 21:54:20.412412 -  latency: 2.578020 ms
2020-02-25 21:54:20.417334 -  latency: 2.119064 ms
2020-02-25 21:54:20.430489 -  latency: 4.388094 ms
2020-02-25 21:54:20.432022 -  latency: 11.394978 ms
2020-02-25 21:54:20.433647 -  latency: 1.962900 ms
2020-02-25 21:54:20.442059 -  latency: 4.940033 ms
2020-02-25 21:54:20.444941 -  latency: 2.402067 ms
2020-02-25 21:54:20.449778 -  latency: 1.773119 ms
2020-02-25 21:54:20.458495 -  latency: 5.071878 ms
2020-02-25 21:54:20.461177 -  latency: 2.346039 ms
2020-02-25 21:54:20.466301 -  latency: 1.999855 ms
2020-02-25 21:54:20.474665 -  latency: 4.917860 ms
2020-02-25 21:54:20.477629 -  latency: 2.403021 ms
2020-02-25 21:54:20.482722 -  latency: 2.085924 ms
2020-02-25 21:54:20.490836 -  latency: 4.777908 ms
2020-02-25 21:54:20.493825 -  latency: 2.354860 ms
2020-02-25 21:54:20.498823 -  latency: 1.871824 ms
2020-02-25 21:54:20.507145 -  latency: 4.724979 ms
2020-02-25 21:54:20.510265 -  latency: 2.381086 ms
2020-02-25 21:54:20.515187 -  latency: 1.828909 ms
2020-02-25 21:54:20.523424 -  latency: 4.638910 ms
2020-02-25 21:54:20.526036 -  latency: 1.883030 ms
2020-02-25 21:54:20.531345 -  latency: 1.794815 ms
2020-02-25 21:54:20.542713 -  latency: 2.269983 ms
2020-02-25 21:54:20.547730 -  latency: 1.839876 ms
2020-02-25 21:54:20.559519 -  latency: 2.681971 ms
2020-02-25 21:54:20.564114 -  latency: 1.834154 ms
2020-02-25 21:54:20.575442 -  latency: 2.273083 ms
2020-02-25 21:54:20.582565 -  latency: 47.535181 ms
2020-02-25 21:54:20.589039 -  latency: 21.335840 ms
2020-02-25 21:54:20.591933 -  latency: 2.362967 ms
2020-02-25 21:54:20.601762 -  latency: 23.128986 ms
2020-02-25 21:54:20.603474 -  latency: 8.432865 ms
2020-02-25 21:54:20.609497 -  latency: 2.554178 ms
2020-02-25 21:54:20.614464 -  latency: 2.051115 ms
2020-02-25 21:54:20.625946 -  latency: 2.536058 ms
2020-02-25 21:54:20.630919 -  latency: 2.058983 ms
2020-02-25 21:54:20.642701 -  latency: 2.847910 ms
2020-02-25 21:54:20.647517 -  latency: 1.927853 ms
2020-02-25 21:54:20.650789 -  latency: 49.349070 ms
2020-02-25 21:54:20.652565 -  latency: 34.636974 ms
2020-02-25 21:54:20.657224 -  latency: 22.864819 ms
2020-02-25 21:54:20.660062 -  latency: 2.461195 ms
2020-02-25 21:54:20.664956 -  latency: 1.978874 ms
2020-02-25 21:54:20.673213 -  latency: 89.111090 ms
2020-02-25 21:54:20.676483 -  latency: 2.629995 ms
2020-02-25 21:54:20.681334 -  latency: 1.986027 ms
2020-02-25 21:54:20.689479 -  latency: 138.106823 ms
2020-02-25 21:54:20.692655 -  latency: 2.441168 ms
2020-02-25 21:54:20.697646 -  latency: 1.947880 ms
2020-02-25 21:54:20.705882 -  latency: 21.111012 ms
2020-02-25 21:54:20.709125 -  latency: 2.436161 ms
2020-02-25 21:54:20.714199 -  latency: 2.009153 ms
2020-02-25 21:54:20.722637 -  latency: 54.303885 ms
2020-02-25 21:54:20.725368 -  latency: 2.186060 ms
2020-02-25 21:54:20.730621 -  latency: 1.945019 ms
2020-02-25 21:54:20.738989 -  latency: 87.783813 ms
2020-02-25 21:54:20.741880 -  latency: 2.280951 ms
2020-02-25 21:54:20.747104 -  latency: 1.963854 ms
2020-02-25 21:54:20.755185 -  latency: 21.016836 ms
2020-02-25 21:54:20.758374 -  latency: 2.291918 ms
2020-02-25 21:54:20.763295 -  latency: 1.884937 ms
2020-02-25 21:54:20.771366 -  latency: 53.668976 ms
2020-02-25 21:54:20.774820 -  latency: 2.373934 ms
2020-02-25 21:54:20.779832 -  latency: 1.940012 ms
2020-02-25 21:54:20.787610 -  latency: 86.414099 ms
2020-02-25 21:54:20.791240 -  latency: 2.414942 ms
2020-02-25 21:54:20.796250 -  latency: 1.998186 ms
2020-02-25 21:54:20.804074 -  latency: 20.740032 ms
2020-02-25 21:54:20.807371 -  latency: 2.140999 ms
2020-02-25 21:54:20.812833 -  latency: 2.119064 ms
2020-02-25 21:54:20.820769 -  latency: 53.937197 ms
2020-02-25 21:54:20.824187 -  latency: 2.533197 ms
2020-02-25 21:54:20.829156 -  latency: 2.004862 ms
2020-02-25 21:54:20.837172 -  latency: 86.525917 ms
2020-02-25 21:54:20.840478 -  latency: 2.377987 ms
2020-02-25 21:54:20.845527 -  latency: 1.931906 ms
2020-02-25 21:54:20.853860 -  latency: 21.272898 ms
2020-02-25 21:54:20.856972 -  latency: 2.505064 ms
2020-02-25 21:54:20.861827 -  latency: 1.941919 ms
2020-02-25 21:54:20.870134 -  latency: 53.927898 ms
2020-02-25 21:54:20.873265 -  latency: 2.460003 ms
2020-02-25 21:54:20.878075 -  latency: 1.848221 ms
2020-02-25 21:54:20.886218 -  latency: 86.474180 ms
