2020-02-25 21:49:51.222142 -  latency: 6.528854 ms
2020-02-25 21:49:51.224442 -  latency: 2.582073 ms
2020-02-25 21:49:51.229965 -  latency: 2.627850 ms
2020-02-25 21:49:51.242416 -  latency: 9.646893 ms
2020-02-25 21:49:51.243688 -  latency: 5.498886 ms
2020-02-25 21:49:51.245684 -  latency: 1.951933 ms
2020-02-25 21:49:51.252767 -  latency: 3.606796 ms
2020-02-25 21:49:51.257042 -  latency: 2.420902 ms
2020-02-25 21:49:51.261933 -  latency: 1.853943 ms
2020-02-25 21:49:51.268947 -  latency: 3.406048 ms
2020-02-25 21:49:51.273298 -  latency: 2.331972 ms
2020-02-25 21:49:51.278382 -  latency: 1.946926 ms
2020-02-25 21:49:51.285079 -  latency: 3.206968 ms
2020-02-25 21:49:51.289848 -  latency: 2.513885 ms
2020-02-25 21:49:51.295005 -  latency: 2.211094 ms
2020-02-25 21:49:51.301492 -  latency: 3.231049 ms
2020-02-25 21:49:51.306123 -  latency: 2.398968 ms
2020-02-25 21:49:51.311077 -  latency: 1.888990 ms
2020-02-25 21:49:51.318902 -  latency: 4.252911 ms
2020-02-25 21:49:51.322483 -  latency: 2.370119 ms
2020-02-25 21:49:51.327815 -  latency: 2.228022 ms
2020-02-25 21:49:51.334201 -  latency: 3.151894 ms
2020-02-25 21:49:51.338807 -  latency: 2.279997 ms
2020-02-25 21:49:51.343981 -  latency: 1.977921 ms
2020-02-25 21:49:51.350855 -  latency: 3.369808 ms
2020-02-25 21:49:51.355366 -  latency: 2.403975 ms
2020-02-25 21:49:51.360418 -  latency: 1.991034 ms
2020-02-25 21:49:51.367628 -  latency: 3.773928 ms
2020-02-25 21:49:51.371494 -  latency: 2.264977 ms
2020-02-25 21:49:51.376611 -  latency: 2.021074 ms
2020-02-25 21:49:51.383551 -  latency: 3.491879 ms
2020-02-25 21:49:51.387833 -  latency: 2.297163 ms
2020-02-25 21:49:51.392826 -  latency: 1.872778 ms
2020-02-25 21:49:51.400330 -  latency: 3.901958 ms
2020-02-25 21:49:51.404194 -  latency: 2.321005 ms
2020-02-25 21:49:51.409305 -  latency: 1.963854 ms
2020-02-25 21:49:51.416378 -  latency: 3.551960 ms
2020-02-25 21:49:51.420667 -  latency: 2.357006 ms
2020-02-25 21:49:51.425690 -  latency: 1.966000 ms
2020-02-25 21:49:51.432789 -  latency: 3.591061 ms
2020-02-25 21:49:51.436924 -  latency: 2.259016 ms
2020-02-25 21:49:51.442479 -  latency: 2.318859 ms
2020-02-25 21:49:51.449242 -  latency: 3.551960 ms
2020-02-25 21:49:51.453734 -  latency: 2.570868 ms
2020-02-25 21:49:51.458493 -  latency: 1.843929 ms
2020-02-25 21:49:51.466503 -  latency: 4.472017 ms
2020-02-25 21:49:51.469765 -  latency: 2.325058 ms
2020-02-25 21:49:51.474836 -  latency: 1.924038 ms
2020-02-25 21:49:51.482185 -  latency: 3.793955 ms
2020-02-25 21:49:51.486001 -  latency: 2.192974 ms
2020-02-25 21:49:51.491197 -  latency: 1.877069 ms
